poi_id,name,name_clean,category,zone,latitude,longitude,address,source,source_url,confidence,notes,record_origin,validation_status,match_method,osm_type,osm_id,extracted_at
OSM-0756,Global Islamic School,global islamic school,school,Depok,-7.7713713,110.4291165,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false",osm,osm_only,osm_only,node,9664828018,2026-06-24T16:07:57.357772+00:00
OSM-0757,Martabak & Terang Bulan 99 Bromonilan,martabak & terang bulan 99 bromonilan,fast_food,Depok,-7.7469694,110.4494153,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:fast_food; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670163084,2026-06-24T16:07:57.357772+00:00
OSM-0758,Pamella Tujuh Supermarket,pamella tujuh supermarket,retail,Depok,-7.7470987,110.449213,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:supermarket; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9670212196,2026-06-24T16:07:57.357772+00:00
OSM-0759,Alfamart,alfamart,retail,Depok,-7.7383744,110.4518201,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:convenience; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9670241259,2026-06-24T16:07:57.357772+00:00
OSM-0760,Angkringan Sempulur Jogja,angkringan sempulur jogja,cafe,Depok,-7.726662,110.4351778,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:cafe; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670244702,2026-06-24T16:07:57.357772+00:00
OSM-0761,Roti Bakar Si Kiting,roti bakar si kiting,fast_food,Depok,-7.7623716,110.4493138,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:fast_food; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670250111,2026-06-24T16:07:57.357772+00:00
OSM-0762,Warmindo Restu Bunda,warmindo restu bunda,restaurant,Depok,-7.7623853,110.4493943,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670255692,2026-06-24T16:07:57.357772+00:00
OSM-0763,Family Wader,family wader,restaurant,Depok,-7.7368398,110.4440166,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670255883,2026-06-24T16:07:57.357772+00:00
OSM-0764,Cafe Warung Idhe Tentang Rasa,cafe warung idhe tentang rasa,restaurant,Depok,-7.7911189,110.446671,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670259499,2026-06-24T16:07:57.357772+00:00
OSM-0765,MM Supermarket,mm supermarket,retail,Depok,-7.7599426,110.4497772,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:supermarket; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9670261676,2026-06-24T16:07:57.357772+00:00
