poi_id,name,category,zone,latitude,longitude,address,source,confidence,notes,record_origin,osm_type,osm_id,osm_primary_key,osm_primary_value,zone_matches,matched_baseline_poi_id
OSM-0655,Preksu Ayam Geprek & Susu,restaurant,Depok/Mlati,-7.7777338,110.385055,Colombo,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati. cuisine=indonesian,osm,node,13817641138,amenity,restaurant,Depok/Mlati,
OSM-0656,Warung Mas Gombloh,cafe,Depok,-7.7542641,110.4130393,Yogyakarta,OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok. cuisine=indonesian,osm,node,13821062250,amenity,cafe,Depok,
OSM-0657,Cold 'N Brew - Jakal,cafe,Depok/Mlati,-7.756,110.3829228,"JL Kaliurang Km 5,7/23C, Sleman",OpenStreetMap Overpass,medium,OSM amenity=cafe; zone query match: Depok/Mlati. cuisine=coffee_shop;pastry; opening_hours=24/7,osm,node,13821631441,amenity,cafe,Depok/Mlati,
OSM-0658,Risol Pandega Viral,restaurant,Depok/Mlati,-7.7563813,110.3740711,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati.,osm,node,13821660104,amenity,restaurant,Depok/Mlati,
OSM-0659,Eiger Store,minimarket,Depok/Mlati,-7.7578707,110.3820469,"Jalan Kaliurang, 5, Sleman",OpenStreetMap Overpass,medium,OSM shop=supermarket; zone query match: Depok/Mlati. operator=Nicky,osm,node,13822321412,shop,supermarket,Depok/Mlati,
OSM-0660,Eiger Store,minimarket,Depok/Mlati,-7.7804959,110.3732323,"Jalan Cornelis Simanjuntak, Yogyakarta",OpenStreetMap Overpass,medium,OSM shop=supermarket; zone query match: Depok/Mlati. operator=Nicky,osm,node,13822324537,shop,supermarket,Depok/Mlati,
OSM-0661,Indomaret Wates KM9.2,minimarket,Gamping,-7.8096438,110.2831174,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031932,shop,convenience,Gamping,
OSM-0662,Indomaret Wates KM9,minimarket,Gamping,-7.8090742,110.2860842,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031933,shop,convenience,Gamping,
OSM-0663,Indomaret Plemburan,minimarket,Depok/Mlati,-7.7481802,110.3785716,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031934,shop,convenience,Depok/Mlati,
OSM-0664,Indomaret Nandan,minimarket,Depok/Mlati,-7.7513272,110.3730521,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031935,shop,convenience,Depok/Mlati,
OSM-0665,Indomaret Gurameh Raya,minimarket,Depok,-7.7469081,110.4065617,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok. brand=indomaret,osm,node,13823031936,shop,convenience,Depok,
OSM-0666,Indomaret Pandowoharjo,minimarket,Mlati/Ngaglik Selatan,-7.7004644,110.3644906,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031937,shop,convenience,Mlati/Ngaglik Selatan,
OSM-0667,Indomaret Tentara Pelajar KM9.5,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7162697,110.3846544,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031938,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0668,Indomaret Sariharjo,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7229041,110.382105,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031939,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0669,Indomaret Kapten Haryadi,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7218601,110.3872424,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031940,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0670,Indomaret Ngebel Gede,minimarket,Depok/Ngaglik Selatan,-7.7252852,110.3950064,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Ngaglik Selatan. brand=indomaret,osm,node,13823031941,shop,convenience,Depok/Ngaglik Selatan,
OSM-0671,Indomaret Plus,minimarket,Depok/Ngaglik Selatan,-7.7284252,110.3990057,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Ngaglik Selatan. brand=indomaret,osm,node,13823031942,shop,convenience,Depok/Ngaglik Selatan,
OSM-0672,Indomaret Kaliurang KM10,minimarket,Depok/Ngaglik Selatan,-7.721589,110.4028372,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Ngaglik Selatan. brand=indomaret,osm,node,13823031943,shop,convenience,Depok/Ngaglik Selatan,
OSM-0673,Indomaret Palagan 63,minimarket,Depok/Mlati,-7.7456833,110.3734356,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031944,shop,convenience,Depok/Mlati,
OSM-0674,Indomaret Palagan KM7,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7369867,110.3768482,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031945,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0675,Indomaret Kaliurang KM12,minimarket,Ngaglik Selatan,-7.7011614,110.4150512,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Ngaglik Selatan. brand=indomaret,osm,node,13823031946,shop,convenience,Ngaglik Selatan,
